floodable_forests,biomass,sur_cover,quarter_biomass,quarter,ecoreg_biomass,dist,nearest_mature,cec,clay,cfvo,nitro,ocd,ocs,phh2o,sand,soc,mean_soil,mean_vpd,mean_temp,mean_def,mean_srad,mean_pr,mean_pdsi,mean_aet,num_fires,ecoreg,biome,indig,protec,topography,age,sd
0,92.0,0.9612314701080322,296.0,3.0,293.0,1063.0,266.408163265306,10817.1669921875,30.066667556762695,12.25,15224.966796875,20.016666412353516,3.700000047683716,4.449999809265137,46.5,16006.6669921875,4718.885714285714,0.8925714492797852,26.33976173400879,155.0857142857143,1377.29833984375,1751.05712890625,1.021738052368164,1016.9714285714285,2,476,1,1,0,41,14,42
0,257.0,0.73204106092453,296.0,3.0,293.0,1101.0,286.28571428571416,13674.1669921875,28.850000381469727,11.350000381469727,16344.033203125,21.33333396911621,4.199999809265137,4.75,49.81666564941406,16258.3330078125,4659.6,0.8627380728721619,26.151548385620117,148.5142857142857,1379.72021484375,1714.3143310546875,0.9703333377838135,1014.9714285714285,1,476,1,1,1,21,30,120
1,370.0,0.3511972725391388,296.0,3.0,293.0,1866.0,289.2857142857142,12507.6669921875,28.933332443237305,9.449999809265137,17441.416015625,22.899999618530273,4.199999809265137,4.599999904632568,52.483333587646484,18626.333984375,4625.114285714286,0.8619523644447327,26.16642951965332,149.42857142857142,1381.5223388671875,1709.5714111328125,0.9644286036491394,1014.0285714285715,0,476,1,1,1,41,20,173
0,344.0,0.8426454067230225,296.0,3.0,293.0,1030.0,293.0408163265305,14490.1669921875,28.450000762939453,15.899999618530273,15622.8837890625,21.33333396911621,4.199999809265137,4.699999809265137,51.75,15701.1669921875,4504.628571428571,0.8406428694725037,25.99333381652832,147.68571428571428,1386.429931640625,1681.82861328125,0.9454285502433777,1012.0285714285715,0,476,1,0,1,41,26,162
0,264.0,0.9452679753303528,296.0,3.0,293.0,1092.0,302.7551020408161,14293.6669921875,29.133333206176758,7.2166666984558105,21549.099609375,25.616666793823242,5.400000095367432,4.900000095367432,45.88333511352539,25205.5,4336.371428571429,0.7771428823471069,25.349523544311523,148.11428571428573,1388.2635498046875,1722.4000244140625,0.8570476174354553,990.5142857142857,0,476,1,1,0,11,24,123
0,277.0,0.7400227785110474,296.0,3.0,293.0,1407.0,271.4897959183671,14831.0,27.133333206176758,7.0,15630.650390625,19.91666603088379,3.9000000953674316,4.7833333015441895,47.38333511352539,15063.5,2721.9142857142856,0.7177143096923828,24.818096160888672,159.57142857142858,1417.194091796875,1752.6285400390625,0.4248095452785492,966.2571428571429,1,476,1,1,0,31,33,112
0,203.0,0.17331813275814056,296.0,3.0,293.0,9151.0,264.5306122448978,12350.6669921875,29.016666412353516,4.233333110809326,16439.650390625,20.450000762939453,4.400000095367432,4.7833333015441895,49.29999923706055,15603.1669921875,2650.0857142857144,0.7372618913650513,24.928810119628906,162.05714285714285,1421.8897705078125,1742.085693359375,0.3978809714317322,973.2857142857143,1,476,1,0,0,21,5,75
0,40.0,0.0,296.0,3.0,293.0,5662.0,252.77551020408154,14080.3330078125,26.933332443237305,3.7333333492279053,19292.099609375,19.266666412353516,4.5,4.75,44.81666564941406,16558.666015625,2593.4,0.7408333420753479,24.933452606201172,161.97142857142856,1416.5655517578125,1746.228515625,0.38202381134033203,971.6,1,476,1,0,0,34,10,15
0,91.0,0.05815279483795166,296.0,3.0,293.0,2212.0,245.04081632653057,12718.6669921875,28.983333587646484,5.7833333015441895,15060.7666015625,19.66666603088379,3.5,4.800000190734863,46.349998474121094,16105.3330078125,2448.5142857142855,0.7301666736602783,24.863929748535156,169.68571428571428,1425.529296875,1731.17138671875,0.3396666646003723,963.6571428571428,2,476,1,0,0,21,2,33
0,186.0,0.2907639741897583,296.0,3.0,293.0,11509.0,237.0816326530612,9982.5,28.983333587646484,6.733333110809326,16888.849609375,21.100000381469727,4.599999904632568,4.800000190734863,41.150001525878906,20570.0,2340.4285714285716,0.6989047527313232,24.402023315429688,170.42857142857142,1416.4508056640625,1731.085693359375,0.2771904766559601,945.1714285714286,4,476,1,0,0,31,8,70
