floodable_forests,biomass,sur_cover,dist,nearest_mature,cec,clay,cfvo,nitro,ocd,ocs,phh2o,sand,soc,mean_soil,mean_vpd,mean_temp,mean_def,mean_srad,mean_pr,mean_pdsi,mean_aet,num_fires,ecoreg,biome,indig,protec,topography,age,sd
0,165.0,0.9372861981391907,1089.0,342.40816326530586,14337.0,30.96666717529297,2.4166667461395264,16012.099609375,23.16666603088379,5.699999809265137,4.5,35.95000076293945,29963.0,1859.5142857142857,0.5642380714416504,24.965238571166992,53.77142857142857,1340.1392822265625,2127.3427734375,-0.6413809657096863,964.1428571428571,0,505,1,0,0,31,23,82
0,322.0,0.352337509393692,2279.0,348.75510204081604,16202.6669921875,25.299999237060547,0.6000000238418579,17608.8671875,22.399999618530273,4.199999809265137,4.683333396911621,34.31666564941406,34193.66796875,1912.057142857143,0.575166642665863,25.075000762939453,50.6,1336.8509521484375,2206.05712890625,-0.4725000262260437,968.6571428571428,2,505,1,0,0,31,7,147
0,355.0,0.5005701184272766,1334.0,350.3469387755099,14458.8330078125,25.950000762939453,2.066666603088379,18224.833984375,22.78333282470703,3.5999999046325684,4.583333492279053,33.36666488647461,21051.166015625,1920.3714285714286,0.5805476307868958,25.105714797973633,50.628571428571426,1332.298583984375,2235.685791015625,-0.34307143092155457,966.7142857142857,0,505,1,1,0,41,16,163
0,362.0,0.5621436834335327,1420.0,350.7959183673466,14411.3330078125,26.983333587646484,1.3666666746139526,17240.033203125,21.33333396911621,3.5,4.699999809265137,30.566667556762695,18460.5,1975.6571428571428,0.581166684627533,25.057737350463867,49.542857142857144,1336.24658203125,2256.685791015625,-0.22350001335144043,969.6571428571428,0,469,1,0,0,31,8,146
0,457.0,0.46180158853530884,1747.0,350.48979591836707,15023.3330078125,28.200000762939453,0.800000011920929,18703.232421875,22.100000381469727,3.9000000953674316,4.699999809265137,26.883333206176758,20036.333984375,1977.5142857142857,0.5912380814552307,25.15916633605957,51.285714285714285,1338.3179931640625,2266.371337890625,-0.19516664743423462,971.7428571428571,0,469,1,0,0,31,4,184
1,103.0,0.20068414509296417,3214.0,318.69387755102014,16657.0,36.233333587646484,0.7333333492279053,19508.93359375,22.33333396911621,3.4000000953674316,4.550000190734863,18.049999237060547,52432.33203125,2142.285714285714,0.6163095235824585,25.281190872192383,62.8,1343.0299072265625,2322.199951171875,-0.06828571856021881,968.4857142857143,1,469,1,0,0,31,21,41
0,273.0,0.7810718417167664,3432.0,318.69387755102014,18254.5,38.28333282470703,1.0,19659.05078125,21.78333282470703,3.9000000953674316,4.483333110809326,12.933333396911621,20882.5,2174.9714285714285,0.616095244884491,25.28607177734375,65.45714285714286,1341.6431884765625,2314.800048828125,-0.06833334267139435,965.4285714285714,0,469,1,0,0,41,4,118
0,350.0,0.9635119438171387,1078.0,315.0408163265303,36292.16796875,36.43888854980469,1.5833333730697632,22171.09375,21.372222900390625,3.6666665077209473,4.472221851348877,19.08333396911621,19674.27734375,2186.2285714285713,0.6074761748313904,25.14642906188965,64.45714285714286,1337.040771484375,2333.571533203125,-0.060071419924497604,961.0571428571428,0,505,1,0,0,42,21,174
0,385.0,0.9498289823532104,1068.0,309.34693877550995,16966.0546875,34.81111145019531,0.21666666865348816,17214.1171875,19.89444351196289,3.1666667461395264,4.288888931274414,11.850000381469727,17666.943359375,2241.2571428571428,0.6078571677207947,25.14202308654785,64.11428571428571,1337.8389892578125,2339.771484375,0.007738097105175257,961.9142857142857,0,505,1,0,0,21,20,191
0,245.53014990569034,0.638540506362915,1062.0,301.823129251698,17101.556640625,35.58333206176758,0.6111111044883728,16569.044921875,20.16666603088379,3.5333333015441895,4.316666603088379,11.522221565246582,17038.0,2381.2571428571428,0.6224285960197449,25.25881004333496,65.11428571428571,1336.19091796875,2351.085693359375,0.089285708963871,965.1714285714286,0,505,1,0,0,21,27,122
1,391.0,0.11744584143161774,2566.0,309.57142857142827,16569.666015625,29.66666603088379,0.6166666746139526,17307.033203125,22.549999237060547,4.800000190734863,4.083333492279053,30.483333587646484,19535.5,2569.057142857143,0.6334999799728394,25.994998931884766,96.48571428571428,1343.2415771484375,2238.685791015625,0.27957144379615784,955.7714285714286,2,496,1,0,0,31,3,173
0,258.0,0.33979475498199463,2926.0,304.285714285714,16568.0,27.899999618530273,1.7000000476837158,18385.31640625,22.233333587646484,5.0,4.233333110809326,29.25,20401.5,2610.942857142857,0.6330952644348145,25.969642639160156,95.0,1345.9478759765625,2261.628662109375,0.25028571486473083,959.1428571428571,1,496,1,0,0,21,4,113
0,129.0,0.5883694291114807,3878.0,304.285714285714,16617.333984375,30.58333396911621,2.4166667461395264,20339.166015625,22.266666412353516,4.5,4.449999809265137,29.233333587646484,24293.666015625,2631.0857142857144,0.6352381110191345,25.948572158813477,91.37142857142857,1349.7984619140625,2287.05712890625,0.2270476371049881,965.7428571428571,4,474,1,0,0,21,2,47
1,151.0,0.3443557620048523,2548.0,300.1224489795916,16702.333984375,26.766666412353516,1.899999976158142,16223.9501953125,23.116666793823242,4.900000095367432,4.150000095367432,32.13333511352539,48570.5,2663.114285714286,0.6407856941223145,26.08392906188965,93.28571428571429,1342.104248046875,2274.428466796875,0.20914287865161896,962.9714285714285,0,496,1,0,0,21,18,58
1,142.0,0.7160775661468506,1916.0,303.79591836734676,17679.5,25.616666793823242,1.6333333253860474,17079.68359375,23.733333587646484,5.099999904632568,4.099999904632568,32.06666564941406,23320.666015625,2676.285714285714,0.6429523825645447,26.1346435546875,92.91428571428571,1346.094482421875,2318.571533203125,0.16692860424518585,967.1714285714286,0,496,1,1,0,31,30,52
1,304.0,0.2519954442977905,2174.0,300.1224489795915,16758.833984375,25.566667556762695,0.6666666865348816,16727.93359375,22.450000762939453,4.800000190734863,4.0,32.06666564941406,21155.333984375,2712.114285714286,0.6457857489585876,26.163570404052734,94.85714285714286,1349.8984375,2311.28564453125,0.1579762101173401,968.6,0,496,1,0,1,21,1,151
1,88.0,0.3306727409362793,1520.0,302.65306122448965,16597.166015625,27.91666603088379,0.5833333134651184,17788.416015625,22.433332443237305,5.0,4.083333492279053,31.983333587646484,21791.166015625,2722.4285714285716,0.6475476026535034,26.177143096923828,92.28571428571429,1348.0421142578125,2342.771484375,0.11264284700155258,970.4857142857143,7,496,1,0,1,31,5,35
1,355.0,0.2759407162666321,2965.0,302.1632653061222,16050.0,26.649999618530273,0.28333333134651184,17473.44921875,23.516666412353516,4.900000095367432,4.050000190734863,32.61666488647461,22655.666015625,2728.7428571428572,0.6492857336997986,26.19631004333496,93.82857142857142,1349.999755859375,2343.685791015625,0.13285715878009796,971.0,0,496,1,0,1,41,20,152
