"age","num_fires","biomass","protec","indig","nearest_mature_biomass","lulc_sum_30","distance","cwd","sur_cover","nitro","sand","phh2o","mean_pr","mean_srad","mean_temp","mean_vpd","mean_soil","mean_aet","amazon_quarter_regions","ecoreg_469","ecoreg_473","ecoreg_474","ecoreg_476","ecoreg_480","ecoreg_481","ecoreg_482","ecoreg_496","ecoreg_497","ecoreg_505","ecoreg_507","ecoreg_508","ecoreg_511","ecoreg_518","ecoreg_529","ecoreg_540","ecoreg_567","ecoreg_570","topography_21","topography_24","topography_31","topography_34","topography_41","topography_42","pred","pred_nolag"
14,2,150,1,0,231,0,1226,-546,0.3195435,4948,1258,147,1719.74285714286,2274.85714285714,25.8,7.77142857142857,4356.51428571429,88.4857142857143,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,34.4669787875026,85.545990264528
7,2,105.5,0,0,243,0,1091,-274,0.44336662,4581,758,115,1924.88571428571,1879.25714285714,25.657143,7,3477.57142857143,79.6571428571429,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22.6158973195952,96.386768804761
10,0,74.5,0,0,231,0,1736,-459,0.56490725,4872,1379,147,2122.6,2238.94285714286,26.042856,7.37142857142857,2858.68571428571,90.4285714285714,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,28.6662381800478,89.9338915257156
4,4,27,0,0,237,0,6705,-462,0.4291013,4344,1760,145,1823.6,2183.88571428571,24.314285,9.02857142857143,3197.45714285714,80.8857142857143,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.10874267747933,47.0474302176131
12,4,71,0,0,233,0,7223,-327,0,4377,1443,152,1933.17142857143,2145.62857142857,25.214285,7.85714285714286,2632.8,84.0285714285714,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17.0397683820142,50.4734436071808
3,4,88,0,0,231,0,5883,-467,0.24736091,5373,1308,144,1829.11428571429,2198,25.671429,7.6,3529.48571428571,87.0285714285714,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6.78142344571911,59.6511906835389
10,7,30.5,0,0,233,0,8026,-322,0.14693296,5442,1204,150,1808.71428571429,2122.31428571429,25.7,7.54285714285714,2883.34285714286,86.2285714285714,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12.2600282884621,40.1311960245269
8,7,4,0,0,233,0,6407,-349,0,5649,1201,148,1895.54285714286,2160.2,25.571428,8.28571428571429,2265.14285714286,83.9714285714286,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,14.8818834263306,59.4345784425392
1,1,119.5,0,0,232,0,2109,-374,0.5378031,5272,1400,138,2357.82857142857,2209.45714285714,26.257143,7.2,2662,91.5428571428571,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2.0338376278128,61.6941942507073
14,4,35.5,0,0,236,0,2040,-447,0.07674751,4344,1760,145,1784.22857142857,2199.37142857143,24.2,8.91428571428571,3516.31428571429,82,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22.3079028560966,59.3586671284966
